Year,Month,Relative Humidity
2011,1,56.69
2011,2,51.19
2011,3,39.44
2011,4,55.12
2011,5,60.94
2011,6,82.5
2011,7,90.06
2011,8,91.38
2011,9,88.56
2011,10,79.06
2011,11,66.69
2011,12,58.62
2012,1,54.44
2012,2,35.88
2012,3,37.5
2012,4,53.44
2012,5,61.19
2012,6,74.69
2012,7,88.75
2012,8,90.31
2012,9,89.06
2012,10,78.44
2012,11,67.31
2012,12,63
2013,1,53.44
2013,2,49.81
2013,3,43
2013,4,55.75
2013,5,60.31
2013,6,86.5
2013,7,91.69
2013,8,89.81
2013,9,88.62
2013,10,81.94
2013,11,71.12
2013,12,60.88
2014,1,56.69
2014,2,48.56
2014,3,45.31
2014,4,48.88
2014,5,56.56
2014,6,68.06
2014,7,86.69
2014,8,90.44
2014,9,86.88
2014,10,75.31
2014,11,66.94
2014,12,54.5
2015,1,53.25
2015,2,43.69
2015,3,50.25
2015,4,56.38
2015,5,61.25
2015,6,80.62
2015,7,86.62
2015,8,87.44
2015,9,84.44
2015,10,75.81
2015,11,69.44
2015,12,52.5
2016,1,45.5
2016,2,50.56
2016,3,47.94
2016,4,53.75
2016,5,61.38
2016,6,77.31
2016,7,91.19
2016,8,90.75
2016,9,90
2016,10,78.81
2016,11,61.06
2016,12,53.94
2017,1,48.62
2017,2,37.75
2017,3,47
2017,4,53.12
2017,5,59.12
2017,6,82.31
2017,7,89.94
2017,8,89.94
2017,9,88.38
2017,10,77.19
2017,11,67.12
2017,12,66.62
2018,1,54.31
2018,2,44.69
2018,3,42.81
2018,4,51.31
2018,5,59.19
2018,6,81.81
2018,7,91
2018,8,89.94
2018,9,85.44
2018,10,69.38
2018,11,58.75
2018,12,46.25
2019,1,34.69
2019,2,40.44
2019,3,44.19
2019,4,52.88
2019,5,58.19
2019,6,73.56
2019,7,90.81
2019,8,90.75
2019,9,91.38
2019,10,84.44
2019,11,78.5
2019,12,76.81
2020,1,67.56
2020,2,49.88
2020,3,49.38
2020,4,51.19
2020,5,57.25
2020,6,83
2020,7,90.19
2020,8,92.31
2020,9,90.12
2020,10,82.69
2020,11,76.06
2020,12,69.38
